block;x_label;x_value;objective_meur;capex_meur;energy_grid_meur;transport_h2_meur
transport_cost;0.35;0.35;1211.8931289204124;81.0;0.0038196000000000003;52.91589905104999
transport_cost;0.40;0.4;1219.4525430705626;81.0;0.0038196000000000003;60.475313201199995
transport_cost;0.45;0.45;1227.0119572207127;81.0;0.0038196000000000003;68.03472735134999
transport_cost;0.50;0.5;1234.5713713708624;81.0;0.0038196000000000003;75.59414150149999
energy_availability;-40%;-0.4;1211.9022858655328;81.0;0.012976545119999999;52.91589905104999
energy_availability;-30%;-0.3;1211.8995174804124;81.0;0.010208159999999999;52.91589905104999
energy_availability;-20%;-0.2;1211.8969868604127;81.0;0.007677539999999999;52.91589905104999
energy_availability;-10%;-0.1;1211.8949807604124;81.0;0.005671440000000001;52.91589905104999
energy_availability;-5%;-0.05;1211.8940548404125;81.0;0.0047455200000000005;52.91589905104999
energy_availability;0%;0.0;1211.8931289204124;81.0;0.0038196000000000003;52.91589905104999
demand;0%;0.0;1211.8931289204124;81.0;0.0038196000000000003;52.91589905104999
demand;10%;0.1;1353.6684826956991;281.8;0.011536128600000002;63.2159611671
demand;20%;0.2;1451.1133603153;281.8;0.014885431199999999;68.9628668841
demand;30%;0.3;1548.5582973262635;281.8;0.018276461814000004;74.70977266445
demand;40%;0.4;1646.0032772749416;281.8;0.021726243492000002;80.45667803145
